location,year,category,rank,query
New Zealand,2018,Global Figures,4,Freddie Mercury
New Zealand,2018,Global Figures,5,Olivia Newton John
New Zealand,2018,Loss,1,Mac Miller
New Zealand,2018,Loss,2,Greg Boyed
New Zealand,2018,Loss,3,Avicii
New Zealand,2018,Loss,4,Anthony Bourdain
New Zealand,2018,Loss,5,Stephen Hawking
Nigeria,2018,People,1,Alexis Sanchez
Nigeria,2018,People,2,Pierre-Emerick Aubameyang
Nigeria,2018,People,3,Meghan Markle
Nigeria,2018,People,4,Stan Lee
Nigeria,2018,People,5,Philippe Coutinho
Pakistan,2018,People,1,Pakistan vs New Zealand
Pakistan,2018,People,3,Pakistan vs Australia
Pakistan,2018,People,4,PSL 2018
Pakistan,2018,People,5,XXXX Brewery Brisbane
Pakistan,2018,People,1,Bushra Manika
Pakistan,2018,People,2,Meghan Markle
Pakistan,2018,People,3,Meesha Shafi
Pakistan,2018,People,4,Reham Khan
Pakistan,2018,People,5,Sylvester Stallone
Panama,2018,People,1,Stan Lee
Panama,2018,People,2,Avicii
Panama,2018,People,3,Meghan Markle
Panama,2018,People,4,Stephen Hawking
Panama,2018,People,5,Sylvester Stallone
Peru,2018,People,1,Paolo Guerrero
Peru,2018,People,2,Daniel Peredo
Peru,2018,People,3,Keiko Fujimori
Peru,2018,People,4,Avicii
Peru,2018,People,5,Luis Miguel
Philippines,2018,Men,1,Freddie Mercury
Philippines,2018,Men,2,Dylan Wang
Philippines,2018,Men,3,Ex Batallion
Philippines,2018,Men,4,Sylvester Stallone
Philippines,2018,Men,5,Hu Yi Tian
Poland,2018,People,1,Avicii
Poland,2018,People,2,Tomasz Mackiewicz
Poland,2018,People,3,Kora Jackowska
Poland,2018,People,4,Meghan Markle
Poland,2018,People,5,Alfie Evans
Portugal,2018,Global Figures,1,Avicci
Portugal,2018,Global Figures,2,Stan Lee
Portugal,2018,Global Figures,3,Demi Lovato
Portugal,2018,Global Figures,4,XXXTentacion
Portugal,2018,Global Figures,5,Mac Miller
Puerto Rico,2018,People,1,Stan Lee
Puerto Rico,2018,People,2,Héctor Ferrer
Puerto Rico,2018,People,3,Meghan Markle
Puerto Rico,2018,People,4,Demi Lovato
Puerto Rico,2018,People,5,Anthony Bourdain
Slovakia,2018,Global Figures,1,Meghan Markle
Slovakia,2018,Global Figures,2,Ester Ledecká
Slovakia,2018,Global Figures,3,Lady Gaga
Slovakia,2018,Global Figures,4,Demi Lovato
Slovakia,2018,Global Figures,5,George Soros
South Africa,2018,People,2,Load Shedding
South Africa,2018,People,3,Global Citizen
South Africa,2018,People,4,Zuma
South Africa,2018,People,5,Winnie Mandela
Spain,2018,People,1,Mundial
Spain,2018,People,2,Cristina Cifuentes
Spain,2018,People,3,Fortnite
Spain,2018,People,4,Bohemian Rhapsody
Spain,2018,People,5,Cómeme el donut
Spain,2018,People,1,Rosalía
Spain,2018,People,2,Avicii
Spain,2018,People,3,Stan Lee
Spain,2018,People,4,Stephen Hawking
Spain,2018,People,5,Freddie Mercury
Sweden,2018,People,1,Avicii
Sweden,2018,People,2,Albin Lee Meldau
Sweden,2018,People,3,Lill-Babs
Sweden,2018,People,4,Meghan Markle
Sweden,2018,People,5,Frank Andersson
United Kingdom,2018,People,2,Meghan Markle
United Kingdom,2018,People,3,Royal Wedding
United Kingdom,2018,People,4,Black Panther
United Kingdom,2018,People,5,Roxanne Pallett
United Kingdom,2018,People,1,Meghan Markle
United Kingdom,2018,People,2,Roxanne Pallett
United Kingdom,2018,People,3,Demi Lovato
United Kingdom,2018,People,4,Ant Mcpartlin
United Kingdom,2018,People,5,Khloe Kardashian
United States,2018,People,2,Hurricane Florence
United States,2018,People,3,Mac Miller
United States,2018,People,4,Kate Spade
United States,2018,People,5,Anthony Bourdain
United States,2018,People,1,Demi Lovato
United States,2018,People,2,Meghan Markle
United States,2018,People,3,Brett Kavanaugh
United States,2018,People,4,Logan Paul
United States,2018,People,5,Khloé Kardashian
United States,2018,Athletes,1,Tristan Thompson
United States,2018,Athletes,2,Shaun White
United States,2018,Athletes,3,Lindsey Vonn
United States,2018,Athletes,4,Le'Veon Bell
United States,2018,Athletes,5,Kawhi Leonard
United States,2018,Loss,1,Mac Miller
United States,2018,Loss,2,Kate Spade
United States,2018,Loss,3,Anthony Bourdain
United States,2018,Loss,4,Stan Lee
United States,2018,Loss,5,Aretha Franklin
United States,2018,Global Figures,1,Stacey Abrams
United States,2018,Global Figures,2,Beto O'Rourke
United States,2018,Global Figures,3,Ted Cruz
United States,2018,Global Figures,4,Andrew Gillum
United States,2018,Global Figures,5,Alexandria Ocasio-Cortez
Vietnam,2018,People,1,Bùi Tiến Dũng
Vietnam,2018,People,2,Hoa Vinh
Vietnam,2018,People,3,Kiều Anh Hera
Vietnam,2018,People,4,Đinh La Thăng
Vietnam,2018,People,5,Trần Đại Quang
Zimbabwe,2018,People,2,Nelson Chamisa
Zimbabwe,2018,People,3,Morgan Tsvangirai
Zimbabwe,2018,People,4,Zimbabwe elections
Zimbabwe,2018,People,5,Black Panther
Global,2019,People,1,India vs South Africa
Global,2019,People,2,Cameron Boyce
Global,2019,People,3,Copa America
Global,2019,People,4,Bangladesh vs India
Global,2019,People,5,iPhone 11
Global,2019,People,1,Antonio Brown
Global,2019,People,2,Neymar
Global,2019,People,3,James Charles
Global,2019,People,4,Jussie Smollett
Global,2019,People,5,Kevin Hart
Global,2019,Athletes,1,Antonio Brown
Global,2019,Athletes,2,Neymar
Global,2019,Athletes,3,Bryce Harper
Global,2019,Athletes,4,David Ortiz
Global,2019,Athletes,5,Alex Morgan
Argentina,2019,People,1,Natacha Jaitt
Argentina,2019,People,2,Cameron Boyce
Argentina,2019,People,3,Sergio Denis
Argentina,2019,People,4,Emiliano Sala
Argentina,2019,People,5,Claudio Bravo Camus
Australia,2019,People,1,Fires near me
Australia,2019,People,4,Election results Australia 2019
Australia,2019,People,5,Cameron Boyce
Australia,2019,Global Figures,1,James Charles
Australia,2019,Global Figures,2,Billie Eilish
Australia,2019,Global Figures,3,Jordyn Woods
Australia,2019,Global Figures,4,Greta Thunberg
Australia,2019,Global Figures,5,Keanu Reeves
Australia,2019,Loss,1,Cameron Boyce
Australia,2019,Loss,2,Danny Frawley
Australia,2019,Loss,3,Luke Perry
Australia,2019,Loss,4,Bob Hawke
Australia,2019,Loss,5,Annalise Braakensiek
Bangladesh,2019,People,1,Bangladesh vs India
Bangladesh,2019,People,2,Cricbuzz live score
Bangladesh,2019,People,3,SSC result 2019
Bangladesh,2019,People,5,Copa America 2019
Bangladesh,2019,People,1,Shakib Al Hasan
Bangladesh,2019,People,2,Mohammad Naim
Bangladesh,2019,People,3,Afif Hossain
Bangladesh,2019,People,4,Sara Ali Khan
Bangladesh,2019,People,5,Samz Vai
Brazil,2019,People,1,Mc Gui
Brazil,2019,People,2,Jair Bolsonaro
Brazil,2019,People,3,Danilo Gentili
Brazil,2019,People,4,Najila Trindade
Brazil,2019,People,5,Neymar
Canada,2019,People,1,Toronto Raptors
Canada,2019,People,2,Kawhi Leonard
Canada,2019,People,3,Canada Election Results
Canada,2019,People,4,Luke Perry
Canada,2019,People,5,Cameron Boyce
Canada,2019,Global Figures,1,Bianca Andreescu
Canada,2019,Global Figures,2,Don Cherry
Canada,2019,Global Figures,3,Jagmeet Singh
Canada,2019,Global Figures,4,Andrew Scheer
Canada,2019,Global Figures,5,Mitch Marner
Canada,2019,People,1,Kawhi Leonard
Canada,2019,People,2,Bianca Andreescu
Canada,2019,People,3,Don Cherry
Canada,2019,People,4,Kevin Durant
Canada,2019,People,5,Antonio Brown
Canada,2019,Loss,1,Luke Perry
Canada,2019,Loss,2,Nipsey Hussle
Canada,2019,Loss,3,Jeffrey Epstein
Canada,2019,Loss,4,Karl Lagerfeld
Canada,2019,Loss,5,Tyler Skaggs
Colombia,2019,People,1,Virginia Gutiérrez de Pineda
Colombia,2019,People,2,Claudio Bravo Camus
Colombia,2019,People,3,Legarda
Colombia,2019,People,4,Cameron Boyce
Colombia,2019,People,5,Aída Merlano
Costa Rica,2019,People,1,Thanos
Costa Rica,2019,People,2,Claudio Bravo Camus
Costa Rica,2019,People,3,Cameron Boyce
Costa Rica,2019,People,4,Joseph Antoine Ferdinand Plateau
Costa Rica,2019,People,5,Camilo Sesto
Czechia,2019,Global Figures,1,Billie Eilish
Czechia,2019,Global Figures,2,Ed Sheeran
Czechia,2019,Global Figures,3,Freddie Mercury
Czechia,2019,Global Figures,4,Greta Thunberg
Czechia,2019,Global Figures,5,Lady Gaga
Denmark,2019,Global Figures,1,Luke Perry
Denmark,2019,Global Figures,2,Cameron Boyce
Denmark,2019,Global Figures,3,Ted Bundy
Denmark,2019,Global Figures,4,Bradley Cooper
Denmark,2019,Global Figures,5,Greta Thunberg
Finland,2019,People,1,Matti Nykänen
Finland,2019,People,2,Olli Lindholm
Finland,2019,People,3,Kaapo Kakko
Finland,2019,People,4,Marko Anttila
Finland,2019,People,5,Ed Sheeran
Guatemala,2019,People,1,Claudio Bravo Camus
Guatemala,2019,People,2,Thanos
Guatemala,2019,People,3,Cameron Boyce
Guatemala,2019,People,4,Joseph Antoine Ferdinand Plateau
Guatemala,2019,People,5,Neymar
India,2019,People,2,Lok Sabha Elections
India,2019,People,3,Chandrayaan 2
India,2019,People,4,Kabir Singh
India,2019,People,5,Avengers: Endgame
Indonesia,2019,People,1,Cinta Luar Biasa
Indonesia,2019,People,2,Pilpres 2019
Indonesia,2019,People,3,Dua Garis Biru
Indonesia,2019,People,4,Hidup Sehat
Indonesia,2019,People,5,Bucin
Ireland,2019,People,2,Gay Byrne
Ireland,2019,People,3,Storm Lorenzo
Ireland,2019,People,4,Game of Thrones
Ireland,2019,People,5,Brendan Grace
Ireland,2019,People,1,Shane Lowry
Ireland,2019,People,2,James Charles
Ireland,2019,People,3,Boris Johnson
Ireland,2019,People,4,Katie Taylor
Ireland,2019,People,5,Maria Bailey
Italy,2019,People,1,Nadia Toffa
Italy,2019,People,2,Luke Perry
Italy,2019,People,3,Mia Martini
Italy,2019,People,4,Mahmood
Italy,2019,People,5,Mauro Icardi
Malaysia,2019,People,1,Vanessa Angel
Malaysia,2019,People,2,Azmin Ali
Malaysia,2019,People,3,Emma Maembong
Malaysia,2019,People,4,Aliff Aziz
Malaysia,2019,People,5,Jung Joon Young
Mexico,2019,People,1,Pablo Lyle
Mexico,2019,People,2,Evo Morales
Mexico,2019,People,3,Joaquin Phoenix
Mexico,2019,People,4,Silvia Pinal
Mexico,2019,People,5,Sergio Goyri
New Zealand,2019,Global Figures,1,James Charles
New Zealand,2019,Global Figures,2,Billie Eilish
New Zealand,2019,Global Figures,3,Prince Andrew
New Zealand,2019,Global Figures,4,Nipsey Hussle
New Zealand,2019,Global Figures,5,Greta Thunberg
New Zealand,2019,Loss,1,Grace Millane
New Zealand,2019,Loss,2,Cameron Boyce
New Zealand,2019,Loss,3,Pua Magasiva
New Zealand,2019,Loss,4,Manning Smith
New Zealand,2019,Loss,5,Luke Perry
Nigeria,2019,People,1,Naira Marley
Nigeria,2019,People,2,Atiku Abubakar
Nigeria,2019,People,3,Neymar
Nigeria,2019,People,4,MC Oluomo
Nigeria,2019,People,5,Rema
Pakistan,2019,People,1,Pakistan vs South Africa
Pakistan,2019,People,2,Pakistan vs Australia
Pakistan,2019,People,3,Live Cricket
Pakistan,2019,People,4,Sony Liv
Pakistan,2019,People,5,PSL 4 schedule
Pakistan,2019,People,1,Naimal Khawar
Pakistan,2019,People,2,Waheed Murad
Pakistan,2019,People,3,Babar Azam
Pakistan,2019,People,4,Asif Ali
Pakistan,2019,People,5,Adnan Sami
Panama,2019,People,1,Thanos
Panama,2019,People,2,Cameron Boyce
Panama,2019,People,3,Joseph Antoine Ferdinand Plateau
Panama,2019,People,4,Walter Mercado
Panama,2019,People,5,Camilo Sesto
Peru,2019,People,1,Alan García
Peru,2019,People,2,Claudio Bravo Camus
Peru,2019,People,3,Cameron Boyce
Peru,2019,People,4,Joseph Antoine Ferdinand Plateau
Peru,2019,People,5,Legarda
Poland,2019,People,1,Piotr Woźniak-Starak
Poland,2019,People,2,Paweł Adamowicz
Poland,2019,People,3,Olga Tokarczuk
Poland,2019,People,4,Agnieszka Woźniak-Starak
Poland,2019,People,5,Alicja Szemplińska
Portugal,2019,Global Figures,1,Cameron Boyce
Portugal,2019,Global Figures,2,Claudio Bravo Camus
Portugal,2019,Global Figures,3,Luke Perry
Portugal,2019,Global Figures,4,Lady Gaga
Portugal,2019,Global Figures,5,Emiliano Sala
Puerto Rico,2019,People,1,Thanos
Puerto Rico,2019,People,2,Claudio Bravo Camus
Puerto Rico,2019,People,3,Cameron Boyce
Puerto Rico,2019,People,4,Walter Mercado
Puerto Rico,2019,People,5,Joseph Antoine Ferdinand Plateau
Slovakia,2019,Global Figures,1,Nicki Minaj
Slovakia,2019,Global Figures,2,Lady Gaga
Slovakia,2019,Global Figures,3,Ivana Gottová
Slovakia,2019,Global Figures,4,Bradley Cooper
Slovakia,2019,Global Figures,5,Billie Eilish
South Africa,2019,People,1,Load shedding
South Africa,2019,People,2,Election results
South Africa,2019,People,3,Thanos
South Africa,2019,People,4,IEC
South Africa,2019,People,5,Fiona Viotti
Spain,2019,People,1,Elecciones generales
Spain,2019,People,2,Notre Dame
Spain,2019,People,3,La caída del Muro de Berlín
Spain,2019,People,4,Elecciones municipales
Spain,2019,People,5,Black Friday
Spain,2019,People,1,Rubalcaba
Spain,2019,People,2,Camilo Sesto
Spain,2019,People,3,Albert Rivera
Spain,2019,People,4,María Jiménez
Spain,2019,People,5,Rosalía
United Kingdom,2019,People,3,Game of Thrones
United Kingdom,2019,People,4,Chernobyl
United Kingdom,2019,People,5,Thanos
United Kingdom,2019,People,1,Caitlyn Jenner
United Kingdom,2019,People,2,James Charles
United Kingdom,2019,People,3,Prince Andrew
United Kingdom,2019,People,4,Tommy Fury
United Kingdom,2019,People,5,Boris Johnson
United States,2019,People,1,Disney Plus
United States,2019,People,2,Cameron Boyce
United States,2019,People,3,Nipsey Hussle
United States,2019,People,4,Hurricane Dorian
United States,2019,People,5,Antonio Brown
United States,2019,People,1,Antonio Brown
United States,2019,People,2,Jussie Smollett
United States,2019,People,3,James Charles
United States,2019,People,4,Kevin Hart
United States,2019,People,5,R. Kelly
United States,2019,Athletes,1,Antonio Brown
United States,2019,Athletes,2,Bryce Harper
United States,2019,Athletes,3,David Ortiz
United States,2019,Athletes,4,Andrew Luck
United States,2019,Athletes,5,Myles Garrett
Vietnam,2019,People,1,Nguyễn Phú Trọng
Vietnam,2019,People,2,Xuân Quỳnh
Vietnam,2019,People,3,Khá Bảnh
Vietnam,2019,People,4,Seungri
Vietnam,2019,People,5,Kim Jong Un
Global,2020,People,1,Coronavirus
Global,2020,People,2,Election results
Global,2020,People,3,Kobe Bryant
Global,2020,People,4,Zoom
Global,2020,People,5,IPL
Global,2020,Athletes,1,Ryan Newman
Global,2020,Athletes,2,Michael Jordan
Global,2020,Athletes,3,Tyson Fury
Global,2020,Athletes,4,Tom Brady
Global,2020,Athletes,5,Mike Tyson
Global,2020,Loss,1,Kobe Bryant
Global,2020,Loss,2,Naya Rivera
Global,2020,Loss,3,Chadwick Boseman
Global,2020,Loss,4,Sushant Singh Rajput
Global,2020,Loss,5,George Floyd
Global,2020,People,1,Joe Biden
Global,2020,People,2,Kim Jong Un
Global,2020,People,3,Boris Johnson
Global,2020,People,4,Kamala Harris
Global,2020,People,5,Tom Hanks
Argentina,2020,People,1,Diego Maradona
Argentina,2020,People,2,Kobe Bryant
Argentina,2020,People,3,Naya Rivera
Argentina,2020,People,4,Luis Alberto Spinetta
Argentina,2020,People,5,Elsa Serrano
Australia,2020,People,1,US election
Australia,2020,People,2,Coronavirus
Australia,2020,People,3,NBA
Australia,2020,People,4,Zoom
Australia,2020,People,5,Coronavirus symptoms
Australia,2020,Loss,1,Kobe Bryant
Australia,2020,Loss,2,Naya Rivera
Australia,2020,Loss,3,Chadwick Boseman
Australia,2020,Loss,4,George Floyd
Australia,2020,Loss,5,Sean Connery
Brazil,2020,People,1,Donald Trump
Brazil,2020,People,2,Luiz Henrique Mandetta
Brazil,2020,People,3,Joe Biden
Brazil,2020,People,4,Sergio Moro
Brazil,2020,People,5,Kim Jong Un
Canada,2020,People,1,US election
Canada,2020,People,2,Coronavirus
Canada,2020,People,3,Kobe Bryant
Canada,2020,People,4,Zoom
Canada,2020,People,5,Raptors
Canada,2020,People,1,Kim Jong Un
Canada,2020,People,2,Joe Biden
Canada,2020,People,3,Kamala Harris
Canada,2020,People,4,Boris Johnson
Canada,2020,People,5,Jacob Blake
Canada,2020,Athletes,1,Ryan Newman
Canada,2020,Athletes,2,Jay Bouwmeester
Canada,2020,Athletes,3,Bubba Wallace
Canada,2020,Athletes,4,Tyson Fury
Canada,2020,Athletes,5,Rudy Gobert
Chile,2020,People,1,Kobe Bryant
Chile,2020,People,2,Diego Armando Maradona
Chile,2020,People,3,Christian Garín
Chile,2020,People,4,Enrique Paris
Chile,2020,People,5,Nano Calderón
Colombia,2020,People,1,Joe Biden
Colombia,2020,People,2,Donald Trump
Colombia,2020,People,3,Daniella Álvarez
Colombia,2020,People,4,Will Smith
Colombia,2020,People,5,Kim Jong-un
Costa Rica,2020,People,1,Joe Biden
Costa Rica,2020,People,2,Donald Trump
Costa Rica,2020,People,3,Daniel Ortega
Costa Rica,2020,People,4,Kim Jong-un
Costa Rica,2020,People,5,Carlo Acutis
Czechia,2020,Global Figures,1,Joe Biden
Czechia,2020,Global Figures,2,Donald Trump
Czechia,2020,Global Figures,3,Billie Eilish
Czechia,2020,Global Figures,4,Kamala Harris
Czechia,2020,Global Figures,5,Kim Čong-un
Denmark,2020,Global Figures,1,Joe Biden
Denmark,2020,Global Figures,2,Kobe Bryant
Denmark,2020,Global Figures,3,Marsha P. Johnson
Denmark,2020,Global Figures,4,Donald Trump
Denmark,2020,Global Figures,5,Naya Rivera
Estonia,2020,People,1,Kobe Bryant
Estonia,2020,People,2,Jaan Kross
Estonia,2020,People,3,Joe Biden
Estonia,2020,People,4,Mikk Pärnits
Estonia,2020,People,5,Toomas Uibo
Finland,2020,People,1,Janita Lukkarinen
Finland,2020,People,2,Kobe Bryant
Finland,2020,People,3,Ressu Redford
Finland,2020,People,4,Joe Biden
Finland,2020,People,5,Mariska
Guatemala,2020,People,1,Joe Biden
Guatemala,2020,People,2,Will Smith
Guatemala,2020,People,3,Kim Jong-un
Guatemala,2020,People,4,Trump
Guatemala,2020,People,5,Tom Hanks
India,2020,People,1,Indian Premier League
India,2020,People,2,Coronavirus
India,2020,People,3,US election results
India,2020,People,4,PM Kisan Yojana
India,2020,People,5,Bihar election results
Indonesia,2020,People,1,Virus Corona
Indonesia,2020,People,2,PSBB
Indonesia,2020,People,3,Kartu Pra Kerja
Indonesia,2020,People,4,Sepeda Lipat
Indonesia,2020,People,5,Odading
Ireland,2020,People,1,US election
Ireland,2020,People,2,Coronavirus
Ireland,2020,People,3,Caroline Flack
Ireland,2020,People,4,Premier League
Ireland,2020,People,5,CNN
Ireland,2020,People,1,Joe Biden
Ireland,2020,People,2,Boris Johnson
Ireland,2020,People,3,Kim Jong Un
Ireland,2020,People,4,Phillip Schofield
Ireland,2020,People,5,Donald Trump
Kenya,2020,Loss,1,Papa Shirandula
Kenya,2020,Loss,2,Kobe Bryant
Kenya,2020,Loss,3,Former President Daniel Moi
Kenya,2020,Loss,4,Former President Daniel Moi
Kenya,2020,Loss,5,Ken Walibora
Malaysia,2020,People,1,Joe Biden
Malaysia,2020,People,2,Kamala Harris
Malaysia,2020,People,3,Kim Jong Un
Malaysia,2020,People,4,Donald Trump
Malaysia,2020,People,5,Pu Riz
Mexico,2020,People,1,Joe Biden
Mexico,2020,People,2,Trump
Mexico,2020,People,3,Christian Nodal
Mexico,2020,People,4,Kim Jong-un
Mexico,2020,People,5,Will Smith
New Zealand,2020,People,1,Coronavirus
New Zealand,2020,People,2,US Election Results
New Zealand,2020,People,3,Zoom
New Zealand,2020,People,4,Seesaw
New Zealand,2020,People,5,Kobe Bryant
New Zealand,2020,Global Figures,1,Kim Jong Un
New Zealand,2020,Global Figures,2,Donald Trump
New Zealand,2020,Global Figures,3,Boris Johnson
New Zealand,2020,Global Figures,4,Joe Biden
New Zealand,2020,Global Figures,5,Tom Hanks
New Zealand,2020,Loss,1,Kobe Bryant
New Zealand,2020,Loss,2,George Floyd
New Zealand,2020,Loss,3,Chadwick Boseman
New Zealand,2020,Loss,4,Caroline Flack
New Zealand,2020,Loss,5,Sushant Singh Rajput
Nigeria,2020,People,1,Coronavirus
Nigeria,2020,People,2,US Election
Nigeria,2020,People,3,Joe Biden
Nigeria,2020,People,4,Google Classroom
Nigeria,2020,People,5,ASUU
Nigeria,2020,People,1,Joe Biden
Nigeria,2020,People,2,Rema
Nigeria,2020,People,3,Naira Marley
Nigeria,2020,People,4,Rahama Sadau
Nigeria,2020,People,5,Hushpuppi
Norway,2020,People,1,Joe Biden
Norway,2020,People,2,Kobe Bryant
Norway,2020,People,3,Kim Jong Un
Norway,2020,People,4,Kamala Harris
Norway,2020,People,5,George Floyd
Pakistan,2020,People,1,Marvi Sarmad
Pakistan,2020,People,2,Uzma Khan
Pakistan,2020,People,3,Joe Biden
Pakistan,2020,People,4,Alizeh Shah
Pakistan,2020,People,5,Hareem Shah
Panama,2020,People,1,Joe Biden
Panama,2020,People,2,Trump
Panama,2020,People,3,Mónica Serrano
Panama,2020,People,4,Kim Jong-un
Panama,2020,People,5,Will Smith
Peru,2020,People,1,Francisco Sagasti
Peru,2020,People,2,Diego Maradona
Peru,2020,People,3,Gianluca Lapadula
Peru,2020,People,4,Kobe Bryant
Peru,2020,People,5,Manuel Merino
Poland,2020,People,1,Joe Biden
Poland,2020,People,2,Kobe Bryant
Poland,2020,People,3,Paweł Królikowski
Poland,2020,People,4,Iga Świątek
Poland,2020,People,5,Rafał Trzaskowski
Portugal,2020,Global Figures,1,Cavani
Portugal,2020,Global Figures,2,Donald Trump
Portugal,2020,Global Figures,3,Joe Biden
Portugal,2020,Global Figures,4,Kim Jong Un
Portugal,2020,Global Figures,5,Isabel dos Santos
Slovakia,2020,Global Figures,1,Joe Biden
Slovakia,2020,Global Figures,2,Donald Trump
Slovakia,2020,Global Figures,3,Drupi
Slovakia,2020,Global Figures,4,Monika Bagárová
Slovakia,2020,Global Figures,5,Kim Čong-un
South Africa,2020,People,1,Coronavirus
South Africa,2020,People,2,US elections update
South Africa,2020,People,3,Sasol share price
South Africa,2020,People,4,Level 3 lockdown South Africa
South Africa,2020,People,5,Children’s Day
Spain,2020,People,1,coronavirus
Spain,2020,People,2,elecciones eeuu
Spain,2020,People,3,classroom
Spain,2020,People,4,la liga
Spain,2020,People,5,Kobe Bryant
Spain,2020,People,1,Donald Trump
Spain,2020,People,2,Joe Biden
Spain,2020,People,3,Kim Jong Un
Spain,2020,People,4,Fernando Simón
Spain,2020,People,5,Boris Johnson
United Kingdom,2020,People,1,Coronavirus
United Kingdom,2020,People,2,US election
United Kingdom,2020,People,3,Caroline Flack
United Kingdom,2020,People,4,Coronavirus symptoms
United Kingdom,2020,People,5,Coronavirus update
United Kingdom,2020,People,1,Phillip Schofield
United Kingdom,2020,People,2,Carole Baskin
United Kingdom,2020,People,3,Joe Exotic
United Kingdom,2020,People,4,Jordan North
United Kingdom,2020,People,5,Elon Musk
United States,2020,People,1,Election results
United States,2020,People,2,Coronavirus
United States,2020,People,3,Kobe Bryant
United States,2020,People,4,Coronavirus update
United States,2020,People,5,Coronavirus symptoms
United States,2020,People,1,Joe Biden
United States,2020,People,2,Kim Jong Un
United States,2020,People,3,Kamala Harris
United States,2020,People,4,Jacob Blake
United States,2020,People,5,Ryan Newman
United States,2020,Athletes,1,Ryan Newman
United States,2020,Athletes,2,Tom Brady
United States,2020,Athletes,3,Bubba Wallace
United States,2020,Athletes,4,Mike Tyson
United States,2020,Athletes,5,Rudy Gobert
United States,2020,Loss,1,Kobe Bryant
United States,2020,Loss,2,Naya Rivera
United States,2020,Loss,3,Chadwick Boseman
United States,2020,Loss,4,George Floyd
United States,2020,Loss,5,Ruth Bader Ginsburg
United States,2020,Global Figures,1,Joe Biden
United States,2020,Global Figures,2,Kamala Harris
United States,2020,Global Figures,3,Boris Johnson
United States,2020,Global Figures,4,Pete Buttigieg
United States,2020,Global Figures,5,Mike Bloomberg
Vietnam,2020,People,1,Donald Trump
Vietnam,2020,People,2,Joe Biden
Vietnam,2020,People,3,Jack
Vietnam,2020,People,4,Tiêu Chiến
Vietnam,2020,People,5,Âu Hà My
